water_body_desc,location_code,section,section_name
Skykomish River,High Bridge (Confluence),1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Lewis Street Launch,1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Mouth of the Skykomish to Lewis St. Bridge,1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Tualco,1,Mouth of the Skykomish to Lewis St. Bridge
Skykomish River,Al Borlin Park,1,Lewis St. Bridge to Wallace River
Skykomish River,Ben Howard Access,1,Lewis St. Bridge to Wallace River
Skykomish River,Ben Howard Road,1,Lewis St. Bridge to Wallace River
Skykomish River,Cracker Bar,1,Lewis St. Bridge to Wallace River
Skykomish River,Lewis St. Bridge to Wallace River,1,Lewis St. Bridge to Wallace River
Skykomish River,Sultan Boat Launch,1,Lewis St. Bridge to Wallace River
